date,year,month,Amazonie_T2m,Amazonie_PWAT,Amazonie_APCP,Amazonie_TCDC,Indonesie_T2m,Indonesie_PWAT,Indonesie_APCP,Indonesie_TCDC,Siberie_T2m,Siberie_PWAT,Siberie_APCP,Siberie_TCDC,Sahel_T2m,Sahel_PWAT,Sahel_APCP,Sahel_TCDC
1979-01-01,1979,1,297.5167715609735,46.45498040130031,0.7334612285751894,63.27923221763246,299.5593792796287,48.872325177114355,1.3521385535548456,63.37496601388032,239.40596256411828,1.7493607012975425,0.1559333780518859,79.7087047902073,295.45986042500783,15.569243720111158,0.013945112856539026,21.235752385265553
1979-02-01,1979,2,297.80760983101845,47.11845250051591,0.8702492140467792,72.13239365412579,299.66293107357274,48.66776351239992,1.236347098437974,60.590718027577566,244.38367444619982,2.424672497805407,0.2152173341561899,80.58992363714334,296.68636974963204,11.30479476926904,0.0036455332587375243,10.48528585241004
1979-03-01,1979,3,297.5143238381892,51.1409159356493,1.59514988637701,77.66156017492446,299.75363352560277,50.65434463261743,1.3684517327797463,67.30836037216116,255.42557957347012,3.469846610306583,0.22600879651020986,84.80134565886719,299.49965833543916,17.687973198975172,0.01804667604476027,23.15392777139951
1979-04-01,1979,4,297.24707991949106,51.99996960452733,1.766874728174093,74.25000820146352,300.01724665874195,49.665610748040244,1.1964303771375673,55.085943070784865,264.148114685553,5.206559859737648,0.327549809761197,88.01828026515646,301.7965420391643,17.62963209635091,0.034681236870764236,25.02752856131444
1979-05-01,1979,5,297.1371872737247,50.276642600390744,1.2288330774444873,66.0301974807994,300.3169548603761,51.15746993913903,1.0996032742273507,51.870187638556324,274.5009172130801,10.033856051159091,0.5157834005335883,84.11923399719834,303.07743771858827,29.233483787233748,0.2550212775676504,47.66326957368668
1979-06-01,1979,6,296.5774360165787,47.43218872699189,1.0591459127096534,65.50340777820655,299.93913817034223,50.341644496904046,0.9962373684327849,52.09434053338867,286.07316534060465,17.43492807963629,0.47486890294024575,65.40458662823602,303.3179491431609,35.62605220130772,0.4725410739900373,57.19519347170059
1979-07-01,1979,7,297.02209501339894,41.58185575006588,0.5249835015068958,52.73821521626379,299.26298377303044,45.778226631034066,0.6991877790078214,54.57451230607634,289.53214753799216,20.145239289421554,0.35984406243900724,55.131802907820564,301.98253635974044,38.370291123582234,0.8640156418742316,60.000729054638285
1979-08-01,1979,8,298.3283248175231,43.38206505613797,0.6359820335725725,55.70135452120353,299.2611837363849,43.51171536744654,0.5190112032936546,48.479371728310475,284.12082000573224,17.74972438605161,0.4982176927503963,72.26091827192958,301.1794115053782,41.04566080885783,1.0253885493899264,63.92868156097166
1979-09-01,1979,9,299.1111966149008,39.8599483879285,0.3938214135628616,48.849917206069655,299.3733752438145,47.36995593076607,0.9494046360607449,52.955299727150226,278.3986420848334,12.80393688920933,0.41229213258808983,74.78741764316896,301.87331264253976,35.79488115924965,0.5399940951114469,53.06883110191939
1979-10-01,1979,10,299.4375497794457,45.59615781135767,0.7332110559430761,61.40178844395252,299.9377679289577,43.897336594610145,0.6595990613077515,60.19949120633419,265.87880159902824,6.584668291648655,0.40886798299537896,87.54984284624122,301.3132165754228,28.859816495883173,0.13357663810123113,40.852748236819906
