var,mean_05,mean_25,abs_diff_mean,abs_diff_max,rel_diff_mean_pct,correlation
T2m,287.6934606248472,287.7138710665187,0.02041044167151338,0.032643703614326114,0.0070893479655165965,0.9999969444481897
T500,258.59033141186944,258.5937746031971,0.0034431913276185807,0.004132893805945059,0.0013317018383691888,0.9999999708924495
SPFH2m,0.009910497579946153,0.009910706271556463,1.2172900702328726e-06,4.217660155401634e-06,0.012202557541168575,0.9999928923357468
PWAT,24.685921942156437,24.704762899532184,0.018840957375745877,0.02978386300172886,0.07600198104985333,0.9999986112631496
APCP,0.5302988860630301,0.5297512953140385,0.0017457631142265787,0.008030721391901419,0.3279575107185421,0.9946378549874304
TCDC,60.49810195930839,60.466928388319836,0.03171673677520048,0.0801722633403017,0.05245892945497877,0.9999685772472734
DLWRF,341.1024274202881,341.18032272547,0.07789530518187802,0.13634241924194157,0.02281007526884478,0.9999966180993408
ULWRF,398.04669616956323,398.1219907524205,0.0757896519545074,0.21322636796412553,0.01891661363791142,0.9999739964744017
DSWRF,193.9779303249109,194.02818938574333,0.06737329429544027,0.2405790967293342,0.034926904082571285,0.9999489610222856
USWRF,26.159713436211618,26.149565064888257,0.03578861874533431,0.12891839939353034,0.14077241644874774,0.999915529893198
PRMSL,101143.1790423452,101143.18822238114,0.15345200956450672,0.7059077861194964,0.00015171586841684255,0.9999007534985704
CSDSF,245.8652735705373,245.86880080521357,0.010418138946305944,0.03962549037157714,0.004177291911613824,0.9999983572820357
CSUSF,32.91587560963493,32.886793087428316,0.048297767745055016,0.18633632580440818,0.1523697435854641,0.999887740437057
CSDLF,315.71477255751876,315.8043032766108,0.08953071909207755,0.15791137487713058,0.02824002222929738,0.9999945559076697
CSULF,398.04422152536944,398.1189631027969,0.07530428486021655,0.21362962891453208,0.018794203338396886,0.9999739696094125
CDUVB,3.967367274078092,3.96741051595447,0.00037899824021227874,0.001038099194561326,0.009459366070909839,0.9999953365557089
DUVB,3.339093534969986,3.339927613207957,0.0010949229628661027,0.0035884453488055357,0.032893735758010204,0.9999668145210199
ALBDO,10.550237096076758,10.540771352527845,0.01461334772855848,0.06247468881967855,0.14791693616643514,0.9999308618734447
