band,var,mean,sd
austral,ALBDO,33.25296787507618,19.411467015316113
austral,APCP,0.2824355787265723,0.03400889032743953
austral,CDUVB,2.323185651817053,2.3479750814850573
austral,CSDLF,168.39318009082274,15.316699826554785
austral,CSDSF,152.57370877795177,147.22843883861833
austral,CSULF,251.86026539952138,18.31934141385969
austral,CSUSF,83.14603670191002,82.90930255267098
austral,DLWRF,207.33156447564423,16.03637178689558
austral,DSWRF,122.07674957301914,121.13675072687151
austral,DUVB,2.061614649116494,2.1041600603680797
austral,PRMSL,99186.54209695202,410.7206987672997
austral,PWAT,4.417404813232963,1.0725030327139322
austral,SPFH2m,0.0016677062762309506,0.00045468400292196656
austral,T2m,256.9132497690696,4.948289158703267
austral,T500,238.5612819114063,2.7525415863103784
austral,TCDC,74.77703829623026,4.048963140174683
austral,ULWRF,251.87335564135557,18.31439274342312
austral,USWRF,72.21356197462279,73.57174765870914
temperate_S,ALBDO,5.416830764535156,0.7369643608567682
temperate_S,APCP,0.5292488748246106,0.06603591957716075
temperate_S,CDUVB,3.3664173974267717,1.8217699407693688
temperate_S,CSDLF,280.4785634868707,12.628642831914838
temperate_S,CSDSF,223.9796838743017,107.09533179034707
temperate_S,CSULF,371.89368744739284,8.825322693128507
temperate_S,CSUSF,18.317113511487232,7.12205454725234
temperate_S,DLWRF,325.3111148722568,9.799159598712155
temperate_S,DSWRF,145.3731384594523,74.05236459632917
temperate_S,DUVB,2.4635060410713367,1.3701369354166386
temperate_S,PRMSL,100943.0418373349,119.72580957435719
temperate_S,PWAT,16.01991008389312,2.652428365682717
temperate_S,SPFH2m,0.006729168497900713,0.0008662846428236109
temperate_S,T2m,283.8181291192223,1.8285744032815434
temperate_S,T500,252.79218511392054,3.072261969274217
temperate_S,TCDC,75.08721205642327,2.872211537525726
temperate_S,ULWRF,371.8865754474932,8.828639805295529
temperate_S,USWRF,11.284451666072757,5.140723818951064
tropical,ALBDO,7.157155537475769,0.08882383977660314
tropical,APCP,0.6156810594150451,0.031789825012797715
tropical,CDUVB,4.904029606923332,0.23107766431831522
tropical,CSDLF,375.679158866229,3.9632698085729454
tropical,CSDSF,288.48391612392646,11.281551289174123
tropical,CSULF,451.49696928284993,2.6948802319316205
tropical,CSUSF,27.93326782845083,0.756328886062419
tropical,DLWRF,387.9260302348294,3.592791934972493
tropical,DSWRF,244.16327402799197,11.013608483554966
tropical,DUVB,4.3060052988277375,0.22146453404996524
tropical,PRMSL,101308.78208536062,53.407474051577175
tropical,PWAT,35.632688043349624,1.3677730336602445
tropical,SPFH2m,0.014315751372833545,0.0003451398677928324
tropical,T2m,297.79562976824997,0.45029789327579545
tropical,T500,266.80034154090504,0.49127879428573934
tropical,TCDC,50.06173142808842,4.814490044289641
tropical,ULWRF,451.5003134478018,2.6852531881158614
tropical,USWRF,23.48872649563287,0.837252616650512
temperate_N,ALBDO,11.332053304583718,2.058039824481012
temperate_N,APCP,0.47297844058759053,0.04262356365092698
temperate_N,CDUVB,3.304568795081042,1.6119613964459614
temperate_N,CSDLF,278.51128775847434,36.5162599994144
temperate_N,CSDSF,221.9347117575326,94.55823266500538
temperate_N,CSULF,369.80741131296975,32.709310802930936
temperate_N,CSUSF,34.671016567135126,10.721825918686951
temperate_N,DLWRF,310.235446473757,30.783811006835656
temperate_N,DSWRF,164.87369660768013,71.92658463324082
temperate_N,DUVB,2.651742319942139,1.2927965414395566
temperate_N,PRMSL,101546.71458798269,173.88538005142934
temperate_N,PWAT,16.501793796294688,6.046290818053366
temperate_N,SPFH2m,0.0065185941882271595,0.0021015381730860386
temperate_N,T2m,282.88226185565986,6.765916378297361
temperate_N,T500,254.5285323326414,5.571223417740961
temperate_N,TCDC,63.22752989353427,6.412727274457914
temperate_N,ULWRF,369.82747387966185,32.69420164448889
temperate_N,USWRF,26.15811691940909,8.15789093927112
boreal,ALBDO,25.854735659533237,14.482098586128506
boreal,APCP,0.2826658822594129,0.05698940786294082
boreal,CDUVB,1.9550500072892938,1.8957432438977038
boreal,CSDLF,204.58943893591137,39.081584746213224
boreal,CSDSF,140.51381158387298,129.18828946142807
boreal,CSULF,285.60323157138185,42.20510617284472
boreal,CSUSF,56.311923916023915,53.24384293262873
boreal,DLWRF,245.4517463537319,43.56182248266114
boreal,DSWRF,97.86389142713885,90.33469161129395
boreal,DUVB,1.5602585385748184,1.5060398533285295
boreal,PRMSL,101272.4818882655,323.17270026768665
boreal,PWAT,7.8400374426828305,4.545075449075632
boreal,SPFH2m,0.002639178272353337,0.0015269718177945237
boreal,T2m,265.17979641543195,10.249675649533227
boreal,T500,243.09232215319682,6.5106334989116625
boreal,TCDC,78.263858333443,2.985464041765877
boreal,ULWRF,285.5655936430814,42.24112611919792
boreal,USWRF,41.745417560032465,40.8328355252321
global,ALBDO,10.552495206696282,0.9847470806238214
global,APCP,0.5300252361683078,0.020044794551604482
global,CDUVB,3.9680147036880236,0.13874336507261303
global,CSDLF,315.69328238251177,7.251016201437861
global,CSDSF,245.89741740664044,7.176454065237796
