region,var,sen_per_year,mk_pvalue,r_with_co2_resid
Amazonie,T2m,0.007129308217290508,0.025993958652886784,0.03191377004453404
Amazonie,PWAT,0.13594991201066833,0.0,0.027661706374906284
Amazonie,APCP,0.011361916819258902,8.054801270418466e-11,-0.031031948273782903
Amazonie,TCDC,0.3390383346122311,0.0,0.10658198729767476
Indonesie,T2m,0.019300012792210216,0.0,0.1476175732880825
Indonesie,PWAT,0.12903255060083246,0.0,0.09757836688971906
Indonesie,APCP,0.003581213600891293,0.001834193791287131,0.014240587923021223
Indonesie,TCDC,0.45374924683418605,0.0,0.1669712696912413
Siberie,T2m,0.03705163984909707,0.28153207205872466,0.12552090526287574
Siberie,PWAT,0.004764804811575242,0.668590214603419,0.1456982470387904
Siberie,APCP,-0.0005042820702801821,0.22476986780622243,0.0898548875172518
Siberie,TCDC,-0.016207752743362426,0.4298675614131875,-0.0576190300087322
Sahel,T2m,0.014646427065031276,0.08807145178617626,-0.11990528283627705
Sahel,PWAT,0.0205611730676278,0.4267541559470416,0.19319635069857255
Sahel,APCP,-1.945999021555409e-05,0.7288543799898664,0.20070569158408688
Sahel,TCDC,0.3793935071144042,1.1102230246251565e-15,0.202752629685998
