year,month,date,band,T2m,SPFH2m,PWAT,APCP,TCDC,DLWRF,ULWRF,DSWRF,USWRF,PRMSL,CSDSF,CSUSF,CSDLF,CSULF,CDUVB,DUVB,ALBDO,T500
1979,1,1979-01-01,austral,264.6048684835449,0.002372472817551942,5.727182097878644,0.20640824506444289,68.43727979291694,229.40278443389852,280.654234328106,299.42072739388755,157.09639679062798,99160.72899724229,367.1955994464789,173.915804679261,191.03155675486695,280.6620096917888,5.581360592571446,4.97460298463107,44.96243915842196,242.46812406027743
1979,1,1979-01-01,boreal,251.16293600321086,0.0009374263719516827,3.2512956664978208,0.20275084373254898,79.13909808013847,189.01957944110185,230.57760342692302,3.633574124065966,2.104648027335884,101800.28010486222,4.593263298586869,2.6762622500926794,156.9796527293374,230.45283549763272,0.0501913676652611,0.0457108374293342,10.13573764241225,235.38508364613207
1979,1,1979-01-01,global,285.3913277713726,0.009405099877806107,22.910474009226476,0.5129328916750083,58.436055504894405,329.7892933796231,387.2141083765226,201.49537643219833,28.934713456093604,101148.36860342792,255.57415204289475,35.27488367397076,304.78394741823143,387.1930984422086,4.136182918337368,3.475130246515023,11.060973300849602,257.25536197600155
1979,1,1979-01-01,temperate_N,272.14986051121787,0.003947574099970949,9.651238097370054,0.5157562263436695,72.10616325551477,266.6019352492977,320.78796677995047,71.08534264793396,19.688355583306862,101707.26576195058,100.13132617126945,26.275000557607534,228.20120231051754,320.8154206910737,1.2603556431179264,1.0023233331252823,14.883277161722509,246.8949916006468
1979,1,1979-01-01,temperate_S,286.30958536732595,0.007859570194708072,18.87756585441509,0.44119269784902637,69.08497243250604,335.1577989987813,383.74304713982406,249.966413758666,17.699411006498263,100799.63382727196,364.6610868223699,26.47519618629076,295.99249569163345,383.7460479605038,5.788156639505528,4.376577537194514,6.050059663663183,256.2371455251822
1979,1,1979-01-01,tropical,297.04475083588983,0.01396557540455399,33.984108061200665,0.6185276850690674,45.62373917487211,382.24635624098454,446.92279605761684,244.2044075308382,23.08820559682245,101247.07302749329,290.5696586210583,27.842100253081018,369.87610398856066,446.88537919422646,4.92427433398571,4.295928263342827,7.177452537817011,266.1659004411252
1979,2,1979-02-01,austral,261.54081365489145,0.0021426517212600276,5.400767213929612,0.2640211393544418,68.28240661117765,221.35885801086457,270.6671916824241,195.73255684477633,96.86430998078792,99189.69623385931,248.68959722078677,108.27700912191592,183.5515416793255,270.66006930562025,3.5253950725848537,3.0784441223402825,40.88761015590056,241.30235574253223
1979,2,1979-02-01,boreal,247.66953575140187,0.0008193558388917664,2.7736543257270525,0.1889718454226552,80.08949690468393,178.23914834667627,218.6339447290988,19.770996033354102,12.546869291796686,101730.42358196568,24.746550362850247,15.422156699071836,146.85990379088486,218.49976573360146,0.2682650293807575,0.24483655624371178,22.469280195580197,234.34088835701925
1979,2,1979-02-01,global,285.3518001808007,0.009530407330294012,22.967889805358002,0.505765457676482,58.64740034122264,330.76363152638186,387.55148805131125,199.30010625980137,27.56746426917513,101159.39228823809,252.9794460608454,34.0680785315041,305.2818111579132,387.5278468461419,4.089412073279969,3.4380069199982426,11.804242753431977,257.4186689806185
1979,2,1979-02-01,temperate_N,273.1573943718021,0.004103280764206038,9.859638614207459,0.5146387973189631,74.93891797612872,273.1509848780961,324.2411819068702,103.44467352542893,29.699343575791993,101555.77260411285,147.42495116140276,39.342171625143195,231.89084136489643,324.25107943820507,1.9570944655175022,1.5395462710322845,16.52547121243894,247.64164956163395
1979,2,1979-02-01,temperate_S,286.5778941714492,0.00801585064515671,19.22666834936357,0.4682175496736962,71.76007996070113,339.0216246985062,385.81196668131713,205.06450589728996,14.656525426436922,100993.97769614207,309.8357982882471,22.83300125936954,297.7895251697838,385.8128523113362,4.859043389049894,3.5864299461274243,5.56106181579363,256.65268237437175
1979,2,1979-02-01,tropical,297.3625667231711,0.014146972113770282,34.00160644848117,0.5891960964825949,43.947035054870135,382.87644117638973,448.4637982132566,255.83540437217286,24.366623566032874,101258.8046413234,301.0082991491663,28.956251552063808,371.18198916457266,448.43145308403575,5.155887174756752,4.535699386893313,7.155460329846699,266.3587776442375
1979,3,1979-03-01,austral,258.66637573296185,0.0019571729623508926,5.070929370004429,0.32190328695635356,72.6200510609571,216.65857716723153,261.13772831915014,85.61492246989566,39.421498784111265,98915.05236474218,116.38317194096,47.15177298562967,176.32609130550347,261.1091081237686,1.5076041676528271,1.2713032469919334,32.07773226599236,239.84805899804374
1979,3,1979-03-01,boreal,253.4288637510019,0.0010765342418567368,3.5459554372893116,0.21427210172625233,80.24295075729438,195.32736306517552,238.12593461737526,70.17546321081925,45.16352489865051,101818.17873587737,87.67066460298847,55.41725290185957,162.5664395528943,238.00490410572252,1.056143456627643,0.9561424697464401,40.06901741256515,236.81335200582194
1979,3,1979-03-01,global,286.248770722723,0.00960976670480334,23.344795547671538,0.5072389349015909,59.02960758630522,334.5499103648025,391.55859609555927,196.89413644936278,27.07923673303405,101155.47426209452,249.13033184908878,34.29035762813549,308.5051917336486,391.5433079287419,4.0004859810838935,3.377189924686977,12.27398483434718,257.46863874397025
1979,3,1979-03-01,temperate_N,276.4956942632833,0.004546206223590702,10.738145761344382,0.47848119079007123,72.20953881687038,284.4002266806846,337.36440133095346,154.87434766774012,38.170834800725025,101562.83221996743,216.89896682010158,51.624275631072564,243.1639519086008,337.37016921161836,3.0558060273401098,2.410189632970575,16.322051450115836,248.63929815611687
1979,3,1979-03-01,temperate_S,286.00869648517886,0.007731082301139871,18.316373716219527,0.513222265106207,74.06007406442632,337.7293041466884,383.46186026328877,147.43121823447632,10.892325880660477,101084.21158577854,234.18625426144956,18.066778858308567,293.95650119695557,383.46670795383494,3.522772351489248,2.516784621895286,5.10408393417653,255.66600034758324
1979,3,1979-03-01,tropical,297.76412569011234,0.014237917106652955,34.70338494363543,0.5780403719407211,44.273566871778534,385.1704359459477,451.21818013728006,261.11411573614276,24.942259322963935,101240.28267185895,304.67697927863924,29.442934470570073,373.77999063775604,451.2035685207407,5.226170972591984,4.630295718665672,7.177008004986587,266.3208203172791
1979,4,1979-04-01,austral,256.6636751281098,0.0016582920874336268,4.251799436956408,0.33411975767754964,73.88975937852734,207.20918745834743,252.75670391215078,24.182201086578765,9.584714593045081,98931.2745654351,35.39150638711488,12.91072172077957,168.2098772627666,252.66167942099716,0.41195154533029604,0.3383339376200404,19.4143908681096,238.73287863381358
1979,4,1979-04-01,boreal,259.2829053406421,0.0015770394732034533,4.72818955115198,0.20950888982382923,79.62096385032545,216.80656625773722,259.3230656216735,158.8058374604116,102.2160882367941,102150.46140992055,198.73401280453814,123.2352214411237,179.27099812824784,259.1713674649196,2.686020304292899,2.3821154129926505,53.37772573119299,239.5431365242116
1979,4,1979-04-01,global,287.160556424604,0.009703287028747381,23.3576159926378,0.5041762401319986,58.52527783774566,337.1192288281666,395.62038830364594,195.8441781623033,28.461244086273354,101144.95313748784,245.27608311608526,35.97273241854739,311.32930975566006,395.62093398635267,3.9011115885489627,3.31963112386777,11.905280897329625,257.74617538727193
1979,4,1979-04-01,temperate_N,280.27672855487947,0.005292385340160756,12.802628939787056,0.4614372576916651,70.3311723772864,298.7895419240627,354.0969356500411,204.14425527711128,39.07658151905029,101611.9314205762,286.94083124929045,54.478721315693875,259.8185223977682,354.1526424992715,4.23268928445306,3.2915520566815792,14.201539161307785,251.61029332376037
1979,4,1979-04-01,temperate_S,284.98720115525714,0.007206198116168113,16.603129969166723,0.5550921909733765,76.08254229127493,331.68558663681864,378.47922558777225,96.32443355392306,7.61046553035353,100870.12662472091,157.64201413559644,13.588847625952967,286.1774486455582,378.49016655143214,2.2081366536997935,1.55675861754583,4.755300757697438,253.41947136374702
1979,4,1979-04-01,tropical,298.0721357061891,0.014317140222247894,34.55429642508541,0.5620065772791268,43.135627535880325,385.6784174744271,453.3545506853197,256.1367675862811,24.98502685315829,101233.48678876703,295.44467028017266,28.977644590367515,375.0522386274003,453.36380009669796,5.008858454379982,4.480006779100461,7.253845799122148,266.398497175576
1979,5,1979-05-01,austral,254.52754963714708,0.0015143872712938369,4.028931800078479,0.3132999801929353,76.80254844875374,203.2053748243337,244.3125928026562,4.300574698048088,1.3227696629951327,99097.96534871995,6.943319439054169,2.1418261935462155,162.1710940815022,244.21427769115354,0.07707117322968796,0.05988007266515125,7.880042956169159,237.73294293114998
1979,5,1979-05-01,boreal,269.04999541599585,0.002810042751245449,7.608137135623228,0.2807772933597798,77.87111071566254,257.95363006459826,299.35916765376385,230.84486264576708,126.78455117947993,101595.72900527297,309.30737982672173,160.38216685333163,212.62365673633803,299.4623279873849,4.434704996289298,3.7199767177600545,50.19754755561438,244.19750775956885
1979,5,1979-05-01,global,288.2399201650264,0.009952802027539384,24.257231763121315,0.5258840017113863,58.879609214343844,342.7149509414775,400.4843847697686,191.37672425562937,27.676200683505492,101134.35274504915,241.12017237823505,35.2110472194514,316.6167060106784,400.50915394489095,3.8271262991341533,3.235221533474203,10.404252687800966,258.4358104011552
1979,5,1979-05-01,temperate_N,285.10571238862786,0.006570939604931375,16.393722642747402,0.4229211673754529,63.61855810988097,316.69448484044534,377.6724746191474,248.33569447587914,35.504561016408786,101482.5011765954,336.12262459293225,47.56230011155737,284.6981259263779,377.7530326947099,5.112033709408203,4.058405038654482,11.476332861544552,255.3418497597544
1979,5,1979-05-01,temperate_S,283.67794383709696,0.006587075632292832,15.23480942588244,0.6112797578904121,78.24117505388811,325.3862622911672,372.0327937910954,61.47943780023956,5.260831297274894,100868.15172384761,102.713736588308,10.214379435045881,277.8385001969622,372.0441326764792,1.3341831964612372,0.9350645959561831,4.466792848866162,251.39565102038875
