var,long_name,unit,n_obs,min,mean,max,sd,range,sen_per_year,sen_total,mk_tau,mk_pvalue,seasonal_amp_stl,amp_decade_first,amp_decade_last
T2m,Température air 2 m,K,564,285.25543007279504,287.717036017073,290.25059771192093,1.404119491455338,4.995167639125896,0.016663192695864963,0.7831700567056533,0.1311993751810841,3.1769526773750556e-06,3.99506658732332,3.9560041230887464,4.211050270144995
T500,Température 500 hPa,K,564,256.9772940688985,258.5959241170064,260.9055921331692,0.9001107836555976,3.9282980642706775,0.027991961706621233,1.315622200211198,0.29528992353526573,0.0,2.5463153967921572,2.460654557817975,3.0537701605317125
SPFH2m,Humidité spécifique 2 m,kg/kg,564,0.0091386298792056,0.00991175496107966,0.0109004617218322,0.00039303635023879346,0.0017618318426266006,1.193630305337109e-05,0.0005610062435084412,0.2690122570323621,0.0,0.0011390717186707984,0.0009137207906131997,0.0013892626248828994
PWAT,Eau précipitable colonne,kg/m²,564,22.021421156975183,24.708427789214337,28.21495301977089,1.3586450628209075,6.193531862795705,0.052248576942818,2.455683116312446,0.3553405641006261,0.0,3.794954315326274,2.9587841002167927,4.455713237594825
APCP,Précipitations cumulées,kg/m²,564,0.4860385608671478,0.5297922720388853,0.5848585156656937,0.01924943157990608,0.09881995479854588,0.0007793108233731226,0.03662760869853676,0.3737198140659839,0.0,0.05362071753084176,0.043939446304628094,0.08348019476264279
TCDC,Couverture nuageuse totale,%,564,56.63542942490616,60.47096698288171,67.34558322314905,2.3052063868672956,10.710153798242892,0.11725695509079462,5.511076889267347,0.5581799629643627,0.0,5.061354832658048,0.9345014650405901,5.265577776060944
DLWRF,LW descendant surface,W/m²,564,328.4580881504869,341.19610672292924,355.0450575667357,7.111175084673468,26.58696941624879,0.1177145583788897,5.532584243807816,0.1545419044379779,4.065243741635527e-08,20.710905822739235,19.688675643253475,22.680083635083918
ULWRF,LW ascendant surface,W/m²,564,386.3471766358148,398.1382774257044,410.6406701802132,6.883390924378899,24.293493544398416,0.08641817076311094,4.061654025866214,0.1370696496731038,1.1301603199953547e-06,19.241636433869452,18.91922236660008,20.86550467253801
DSWRF,SW descendant surface,W/m²,564,181.35277326332,194.02016578483367,204.75826982453032,5.818154092853998,23.405496561210327,0.08215095045830953,3.861094671540548,0.12410717659952383,1.0472948619000277e-05,18.365211951626634,17.553213261264176,17.40154854919146
USWRF,SW réfléchi surface,W/m²,564,20.637477847428336,26.147003885088363,31.73712419677025,2.869136774952472,11.099646349341914,0.005819504609372344,0.27351671664050015,0.025395865613544462,0.3672402185757617,10.041659104773364,8.573571249094922,9.968137011671342
PRMSL,Pression réduite mer,Pa,564,101096.72798954562,101143.1686179678,101193.76333587752,14.823891267513913,97.0353463319043,4.324736274087529e-05,0.0020326260488211386,2.5194311124548077e-05,0.9994645870985959,48.90858315744353,26.81857880175812,48.312399582966464
CSDSF,SW descendant ciel clair,W/m²,564,231.95568670882312,245.85300156151433,257.10793503078975,7.182524544879973,25.152248321966624,-0.01336098745140647,-0.6279664102161041,-0.02931358099341169,0.2979758146232925,21.002316025962127,20.071967649662156,20.906495178246104
CSUSF,SW ascendant ciel clair,W/m²,564,26.94347388370786,32.88460923269636,38.731002875623936,2.9930110077277337,11.787528991916076,-0.003409028588470757,-0.16022434365812557,-0.013000264540266808,0.6444741658175182,10.953230580865746,8.566639260219937,11.116144185039886
CSDLF,LW descendant ciel clair,W/m²,564,303.0542737233317,315.82265276799825,332.06974949471265,7.286302710475825,29.015475771380977,0.1667799121401612,7.838655870587576,0.21372334126954134,3.197442310920451e-14,20.724521291288987,18.92688318938673,23.20145550739568
CSULF,LW ascendant ciel clair,W/m²,564,386.3298166497867,398.13526981575023,410.6425323060382,6.893525524826818,24.3127156562515,0.0861475694977866,4.04893576639597,0.13690588665079426,1.163882558552487e-06,19.261308449774056,18.95051576216099,20.891157209797427
CDUVB,UV-B ciel clair,W/m²,564,3.693419710588526,3.9671511094792797,4.204879369425444,0.13889669425787038,0.5114596588369182,0.0009726389786458535,0.04571403199635512,0.08844462920272603,0.0016854819113518715,0.38436906971630647,0.3521534101643802,0.41129100752193315
DUVB,UV-B all-sky,W/m²,564,3.093276458813164,3.339758819331151,3.551231563875403,0.11551224241695675,0.457955105062239,0.0020426770370978098,0.09600582074359706,0.16131917413048133,1.0121888882608232e-08,0.3435549973250916,0.3192943744884573,0.32425224783145
ALBDO,Albédo de surface,%,564,8.484315547990867,10.538035580353862,12.380678104183332,0.999490383045566,3.8963625561924644,-0.0003011467823771524,-0.014153898771726162,-0.003287857601753524,0.9072266583825273,3.556638331962379,3.4753774445931658,2.9926140691396483
CRE_SW,Cloud Radiative Effect SW,W/m²,564,-53.9720062147604,-45.09523042907268,-37.76707710136975,3.284503947602952,16.204929113390648,0.07609117730714901,3.5762853334360036,0.1996649156620435,1.3369305662536135e-12,10.719753961713772,6.017900910793628,11.115566993592921
CRE_LW,Cloud Radiative Effect LW,W/m²,564,22.635854723700504,25.370446344976777,27.55020473741644,1.0588559081652864,4.914350013715936,-0.04813468814353804,-2.2623303427462877,-0.39984631470214027,0.0,2.17087175982013,1.5559644918619142,2.8875626478141463
CRE_net,Cloud Radiative Effect net,W/m²,564,-26.94628590682055,-19.724784084095898,-13.96937021981958,2.7532884721004587,12.976915687000968,0.026515062786406092,1.2462079509610864,0.08196969124371717,0.0036056183145718457,9.736228594174595,6.718333322774868,9.768733456900522
