date,year,month,CRE_SW,CRE_LW,CRE_net
1979-01-01,1979,1,-47.812233131130824,25.018751051292327,-22.793482079838498
1979-02-01,1979,2,-47.188596147975545,25.473964508521817,-21.714631639453728
1979-03-01,1979,3,-44.93920867766829,26.011831794926593,-18.927376882741697
1979-04-01,1979,4,-41.870610273849366,25.795461516785736,-16.07514875706363
1979-05-01,1979,5,-42.200072871455575,26.116050015495034,-16.08402285596054
1979-06-01,1979,6,-43.67478076198424,25.907688914333903,-17.767091847650335
1979-07-01,1979,7,-44.926326353230166,25.81183690071998,-19.114489452510185
1979-08-01,1979,8,-46.194410529045626,26.357937275162953,-19.836473253882673
1979-09-01,1979,9,-46.6799748763068,26.199522158239745,-20.480452718067056
1979-10-01,1979,10,-47.50121543808547,26.57471554315424,-20.926499894931226
1979-11-01,1979,11,-47.525469672118334,26.235011042006818,-21.290458630111516
1979-12-01,1979,12,-47.888511184642994,25.763798925135006,-22.124712259507987
1980-01-01,1980,1,-48.33718747914807,25.15938673223809,-23.17780074690998
1980-02-01,1980,2,-47.98759764828702,25.353568692489034,-22.634028955797987
1980-03-01,1980,3,-44.79104869393959,25.70868229887384,-19.082366395065748
1980-04-01,1980,4,-42.57885159985423,25.736229006748886,-16.842622593105347
1980-05-01,1980,5,-42.08524086770376,26.150285698114203,-15.934955169589557
1980-06-01,1980,6,-43.668712926804176,26.288778432175945,-17.37993449462823
1980-07-01,1980,7,-46.04534729816592,26.541671518623787,-19.503675779542135
1980-08-01,1980,8,-47.46741757290144,26.562697557568356,-20.904720015333083
1980-09-01,1980,9,-46.13541700570775,26.108614097348664,-20.026802908359087
1980-10-01,1980,10,-47.77090818576082,26.85324705067137,-20.917661135089446
1980-11-01,1980,11,-47.00635041975562,25.869042306771632,-21.137308112983987
1980-12-01,1980,12,-47.435020580279286,25.38702598696318,-22.047994593316105
1981-01-01,1981,1,-48.44751506956558,25.27260128824628,-23.174913781319304
1981-02-01,1981,2,-49.007008369303634,25.90208084801128,-23.104927521292353
1981-03-01,1981,3,-45.0025717791581,25.42062912533828,-19.581942653819823
1981-04-01,1981,4,-42.2985738495459,25.57242543333558,-16.72614841621032
