var,level,anom,resid,d1,d12
CRE_LW,-0.6817026019191872,-0.7319100466703191,-0.5233131929541586,0.07031335666390558,0.04884533350155037
CRE_SW,0.339111040801265,0.5379728203795081,0.4889571016349677,0.12052725776059589,-0.07790764924413249
DSWRF,0.21117150559218775,0.5387456146742531,0.43658261816286115,0.46484889965206583,-0.006748546963608971
CRE_net,0.14237037945924977,0.3213233292005032,0.43167383489525357,0.15094319058514274,-0.08180947550715283
PRMSL,-0.02413190050398593,-0.02149423322891919,-0.3935222625722438,0.18619469453344903,0.010156634156066028
CDUVB,0.1032432534987559,0.4895207080364745,-0.3090067724878715,0.3314889541362934,0.035951446069492854
APCP,0.5116527945729742,0.5953503050235178,-0.28042135418677755,-0.2924756435442839,0.044024604422264545
CSDLF,0.31445894058498775,0.8883325392037246,0.24167213037687008,-0.5233316446217211,0.10216777691567032
T2m,0.1652221568059888,0.8019768945266211,0.2331060039565953,-0.4711410412517841,0.11489874353828519
T500,0.4183612071973979,0.8375705549562815,0.22401537614173747,-0.5377480941687576,0.17277229401529878
DUVB,0.24766790393941307,0.7186886656164707,0.21819506367109384,0.4036298400244895,-0.018786308636471176
CSULF,0.17305321043714414,0.8283023681882825,0.19999345162048035,-0.4808953524024779,0.07539847137228681
ULWRF,0.17349620780040137,0.828470620024353,0.19997831573346728,-0.4811202549493244,0.07533796867458209
SPFH2m,0.4191993788993507,0.8451710311202718,0.18809937318421938,-0.5462182714779352,0.06625975115283456
PWAT,0.5289063711912896,0.8819945182486442,0.15687318901007313,-0.5218824152809738,0.09648638384744197
CSDSF,-0.0028918885790524284,-0.019473460597142243,-0.13470990731325636,0.38478283175049366,0.09603116282776662
USWRF,0.04804194492969055,0.29382096345526965,0.13019439007353095,0.6976311725200456,0.028473389361113176
ALBDO,-0.01125150847939256,-0.04391255486436503,-0.12133821181107957,0.2417720320302624,0.02647760124742199
CSUSF,0.0007520997631729647,7.809951370963814e-05,-0.11401302876021432,0.7189888995397241,0.06038938729292393
TCDC,0.7646003872200676,0.7846751212371413,0.08023758757983467,0.30041592405074974,-0.0039633258729958
DLWRF,0.22087962729746996,0.7212544524240809,-0.05612772941015407,-0.5164742488439201,0.11014172647825926
