var,brute,homog,diff
CRE_SW,0.4889571016349675,0.04610163534418514,-0.4428554662907823
CRE_LW,-0.5233131929541585,-0.09401793813555268,0.42929525481860575
DSWRF,0.4365826181628615,0.011677558773577627,-0.42490505938928386
CRE_net,0.4316738348952536,0.013526275582749218,-0.4181475593125044
DUVB,0.21819506367109384,-0.1478679327869176,-0.36606299645801144
PRMSL,-0.3935222625722438,-0.04296626170894123,0.3505560008633026
TCDC,0.08023758757983467,-0.2665488634021398,-0.34678645098197447
DLWRF,-0.05612772941015407,0.25062049770983197,0.30674822711998606
USWRF,0.130194390073531,-0.054736893333669184,-0.1849312834072002
T2m,0.2331060039565953,0.35196571784629616,0.11885971388970085
CDUVB,-0.30900677248787156,-0.2170050623063499,0.09200171018152167
ULWRF,0.19997831573346728,0.2907314816651906,0.0907531659317233
CSULF,0.19999345162048035,0.29035105863622857,0.09035760701574821
ALBDO,-0.12133821181107957,-0.2087734197779044,-0.08743520796682483
CSDSF,-0.13470990731325722,-0.06553826248609215,0.06917164482716506
SPFH2m,0.18809937318421938,0.2550226351696537,0.0669232619854343
CSDLF,0.24167213037687008,0.304144466631124,0.06247233625425391
PWAT,0.15687318901007297,0.1809189289794521,0.024045739969379143
T500,0.22401537614173747,0.24760689437702524,0.023591518235287767
APCP,-0.28042135418677755,-0.3009696079905292,-0.020548253803751637
CSUSF,-0.11401302876021428,-0.09881864333199068,0.0151943854282236
