var,jump,se,p_value,ci_lo,ci_hi,trend_per_yr,mean_var,sd_var,jump_pct,significant,jump_in_sd
T2m,-0.11874057660148185,0.026213539012366328,7.247254344201054e-06,-0.17023147873528222,-0.0672496744676815,0.019723167018148132,287.717036017073,1.404119491455338,-0.041269915137884236,True,-0.0845658630366351
T500,-0.03575913034116207,0.0386196501117993,0.3548879507407613,-0.1116191896566997,0.04010092897437556,0.028231510314716934,258.5959241170064,0.9001107836555976,-0.013828187920310068,False,-0.039727476873384855
SPFH2m,-4.239478380424892e-05,1.6300189224228917e-05,0.00954876583598747,-7.441302627472383e-05,-1.037654133377402e-05,1.3206299297302991e-05,0.00991175496107966,0.00039303635023879346,-0.42772227492225023,True,-0.10786479107719048
PWAT,-0.05672266698419501,0.059962317294302785,0.344578320789916,-0.1745058404069169,0.06106050643852688,0.05422422198392104,24.708427789214337,1.3586450628209075,-0.22956809501637107,False,-0.04174943738905856
APCP,0.0016065533344078015,0.0019952947725309575,0.42106898795413733,-0.0023127773523799393,0.005525884021195542,0.0007108438653046185,0.5297922720388853,0.01924943157990608,0.30324212322407845,False,0.08345978049995179
TCDC,2.6285538027512714,0.1845756737003608,2.1176296908013237e-39,2.265994289276116,2.9911133162264267,0.05670520642026532,60.47096698288171,2.3052063868672956,4.346802993071649,True,1.1402683151175002
DLWRF,-2.487851802345993,0.20032612618803383,2.170286819810585e-31,-2.8813497178134644,-2.094353886878521,0.1840670265735938,341.19610672292924,7.111175084673468,-0.7291559760868757,True,-0.349851012346468
ULWRF,-0.43192628364955377,0.12336820065556214,0.0005009263337882042,-0.6742567810074975,-0.18959578629160997,0.09728327851519403,398.1382774257044,6.883390924378899,-0.10848650032906078,True,-0.062749056154838
DSWRF,5.250560008636041,0.2146234683435738,5.4593397717944195e-90,4.828978016258654,5.6721420010134285,-0.06038007563674044,194.02016578483367,5.818154092853997,2.7061929296869365,True,0.902444301893776
USWRF,0.49492394913588,0.06540477995710937,1.6165818650250553e-13,0.36645021950076595,0.6233976787709941,-0.004132001284861566,26.147003885088363,2.869136774952472,1.8928514766394904,True,0.1724992525475118
PRMSL,-26.261842033049682,1.4727053254414253,1.802718852555443e-56,-29.154657297270873,-23.36902676882849,0.7473881637333031,101143.1686179678,14.823891267513913,-0.025965018094543203,True,-1.7715889545548458
CSDSF,-0.42898486483131326,0.1548876234862177,0.005801145237576814,-0.733228540548025,-0.12474118911460153,0.011537541134644627,245.85300156151433,7.182524544879973,-0.17448835772052917,True,-0.059726195455484105
CSUSF,-0.048674091215426936,0.0808879242653731,0.5475903068424607,-0.20756115298109434,0.11021297055024049,0.0018301449056828596,32.88460923269636,2.9930110077277337,-0.1480148079942257,False,-0.01626258342844514
CSDLF,-0.45055492480138576,0.18612070296567604,0.015810539422932608,-0.8161493184831656,-0.08496053111960594,0.17840068532365824,315.82265276799825,7.286302710475825,-0.1426607372373511,True,-0.06183587790740617
CSULF,-0.42987275048726564,0.12330693463036035,0.0005290570453799934,-0.6720829038158778,-0.18766259715865358,0.09712007004640295,398.13526981575023,6.893525524826818,-0.10797153205899164,True,-0.06235891184258219
CDUVB,-0.014613983396876366,0.003852980552000434,0.00016539465324679368,-0.022182341276096626,-0.007045625517656104,0.0015384071781319518,3.9671511094792797,0.13889669425787038,-0.36837476046619677,True,-0.1052147675289132
DUVB,0.059174756455196,0.0036186576627635814,2.826928573522053e-49,0.05206667587587455,0.06628283703451746,0.000449799320673387,3.339758819331151,0.11551224241695675,1.7718272383227616,True,0.5122812544976564
ALBDO,0.08748572932976026,0.02570038013810427,0.000712302423866071,0.03700281827115405,0.13796864038836648,-0.0028108186824095348,10.538035580353862,0.999490383045566,0.8301901114555027,True,0.08753033627315236
CRE_SW,5.135946833116028,0.17880734672439824,1.6060373536053126e-111,4.784717966741019,5.487175699491037,-0.06595547058084356,-45.09523042907267,3.284503947602952,-11.38911318170116,True,1.5636902604011997
CRE_LW,-2.0352433443822644,0.06888141060355277,1.268019568948112e-115,-2.170546172838676,-1.899940515925853,0.005503132781143581,25.370446344976777,1.0588559081652864,-8.022103027703462,True,-1.922115491529717
CRE_net,3.1007034887337666,0.13070274713217236,3.268014136865891e-86,2.8439658403747776,3.3574411370927555,-0.060452337799699746,-19.724784084095898,2.7532884721004587,-15.719834881406205,True,1.126181844058014
