year,month,date,T2m,T500,SPFH2m,PWAT,APCP,TCDC,DLWRF,ULWRF,DSWRF,USWRF,PRMSL,CSDSF,CSUSF,CSDLF,CSULF,CDUVB,DUVB,ALBDO,CRE_SW,CRE_LW,CRE_net
1979,1,1979-01-01,285.4076607215701,257.2586272992795,0.0094057245865619,22.9268017567038,0.5139398317186298,58.42341866901613,329.8821853145477,387.2014880048524,201.42344066455223,29.000391470295646,101148.28242184536,255.59339373412303,35.35811140873564,304.8417515172612,387.1798052588582,4.137095193936758,3.4745522451722644,11.081320870400956,-47.812233131130824,25.018751051292327,-22.793482079838498
1979,2,1979-02-01,285.3695932520479,257.42262979510434,0.0095313692091811,22.98637214023921,0.5102889733670647,58.63387656903796,330.84840609584285,387.5518394053787,199.3112261419581,27.616200188838977,101159.29604153414,252.99182052082625,34.1081984197316,305.3469019364222,387.5242997544799,4.0900140649845005,3.4386717556559963,11.8161358078914,-47.188596147975545,25.473964508521817,-21.714631639453728
1979,3,1979-03-01,286.2674270477901,257.4721742020152,0.0096099442569185,23.35858254798647,0.5076049310651304,58.97956056074382,334.5932149903056,391.5622149083933,197.0079812271033,27.148152812246227,101155.3001943581,249.14563494787348,34.3465978553481,308.56465550597665,391.5454872189909,4.000977850536864,3.3792171200479566,12.289292711952127,-44.93920867766829,26.011831794926593,-18.927376882741697
1979,4,1979-04-01,287.18050259721974,257.74969533119804,0.0097030087678678,23.374228841361447,0.5032311598475587,58.49843383122812,337.1950708587368,395.6366084147546,195.94442441655832,28.492103215445077,101144.74273641656,245.2825954272097,35.95966395224709,311.39368342628387,395.6306824990874,3.9012690411185535,3.321424146934476,11.900347463104364,-41.870610273849366,25.795461516785736,-16.07514875706363
1979,5,1979-05-01,288.26319430676244,258.439126515101,0.0099516397448867,24.274855474278446,0.5249467738089215,58.87704766563499,342.7942300775498,400.53354512998953,191.44950806435932,27.61054085668987,101134.24244304554,241.11467766055804,35.075637581433035,316.69492702212045,400.5502920900552,3.826571985020606,3.236166627023142,10.37201176258421,-42.200072871455575,26.116050015495034,-16.08402285596054
1979,6,1979-06-01,289.1046276139661,259.2627442499126,0.0101628272484533,25.323600131463117,0.5367557921454464,58.9018922694661,347.4377259716291,404.76838396159445,186.80286471271845,25.10596141111964,101134.50341293369,237.83527882400315,32.46359476042011,321.54486217334585,404.7832090776451,3.7887870271688926,3.1758554482820016,9.139724326810828,-43.67478076198424,25.907688914333903,-17.767091847650335
1979,7,1979-07-01,289.3255973751366,259.7192818570975,0.010287591222234,25.881126405299597,0.5386852491395544,58.78168123754466,349.5708609578012,406.1207103714525,184.4734991456272,22.75065216017866,101132.47746273238,236.35439936357227,29.705226024893573,323.7686347066479,406.1303210210192,3.7849417837723776,3.155257870683807,8.813915267358961,-44.926326353230166,25.81183690071998,-19.114489452510185
1979,8,1979-08-01,289.28918767027767,259.39333184306605,0.0102969696425731,25.595837077334448,0.5263665426057823,58.61956515806792,349.3486989799491,406.0869169650271,185.181331145125,21.260133907660776,101138.27273167012,238.10518074895367,27.989572982443825,322.99665770039803,406.092812960639,3.809242350546736,3.1728539976695447,9.307376460201985,-46.194410529045626,26.357937275162953,-19.836473253882673
1979,9,1979-09-01,288.6884141128702,258.72012046256185,0.0099972344189903,24.67210911103838,0.5200434839070305,58.04505909570323,345.1710939624265,402.84175554831,189.3890827519628,22.17852845915138,101141.49561113345,242.6248985504563,28.734369381338063,318.98049025022834,402.8506739943516,3.859960391857867,3.228402551845128,10.302510011458644,-46.6799748763068,26.199522158239745,-20.480452718067056
1979,10,1979-10-01,287.65057690101094,258.1068726772414,0.0096795025248827,23.639945919668293,0.4996102116390714,58.94206194104246,339.90947960051204,397.72898042867286,194.252743711506,25.51414136599882,101136.37933757334,248.538514439001,32.29869665540836,313.34384653991737,397.7380629112324,3.9584680429055457,3.3142654756395,11.041673711475012,-47.50121543808547,26.57471554315424,-20.926499894931226
1979,11,1979-11-01,286.4595124202269,257.44552865798283,0.0094367238571624,23.091528659408308,0.5147123802950201,58.50858789741995,334.18777741294565,391.9243774695109,199.51037695877707,29.749541081628607,101146.7783884819,253.84251779193056,36.55621224266376,307.95480091416994,391.926412012742,4.061591498183987,3.4101133964898613,11.256459244831849,-47.525469672118334,26.235011042006818,-21.290458630111516
1979,12,1979-12-01,285.9963623754594,257.2866733284424,0.0093832488519599,22.922342305082807,0.4947458028349263,58.81467285174775,332.1720077371886,389.5988110728855,202.02671240689136,29.8337051567557,101139.68109959454,256.4263670132344,36.34484857845577,306.3890301425453,389.5796324033772,4.123026443020154,3.4656828546415968,10.603595101799074,-47.888511184642994,25.763798925135006,-22.124712259507987
1980,1,1980-01-01,285.6030418847498,257.35957431191406,0.0094077689114729,22.959815633668697,0.5135609908749327,58.83329920810657,330.76414419614974,388.0681663161291,201.2495836550405,28.67934517000498,101149.5733694558,255.86338781642772,34.95596185224412,305.5656273483075,388.02903620052496,4.134471129823566,3.470500692850844,10.876419641852117,-48.33718747914807,25.15938673223809,-23.17780074690998
