year,month,date,T2m,T500,SPFH2m,PWAT,APCP,TCDC,DLWRF,ULWRF,DSWRF,USWRF,PRMSL,CSDSF,CSUSF,CSDLF,CSULF,CDUVB,DUVB,ALBDO
1979,1,1979-01-01,285.40766072157015,257.2586272992795,0.009405724586561944,22.9268017567038,0.5139398317186298,58.42341866901613,329.8821853145477,387.20148800485237,201.42344066455223,29.000391470295646,101148.28242184536,255.59339373412303,35.35811140873564,304.8417515172612,387.1798052588582,4.137095193936758,3.4745522451722644,11.081320870400955
1979,2,1979-02-01,285.3695932520479,257.42262979510434,0.009531369209181146,22.98637214023921,0.5102889733670647,58.63387656903796,330.84840609584285,387.5518394053787,199.31122614195806,27.616200188838977,101159.29604153414,252.99182052082622,34.1081984197316,305.3469019364222,387.5242997544799,4.0900140649845005,3.4386717556559963,11.8161358078914
1979,3,1979-03-01,286.2674270477901,257.4721742020152,0.009609944256918588,23.35858254798647,0.5076049310651304,58.97956056074382,334.5932149903056,391.5622149083933,197.0079812271033,27.148152812246227,101155.3001943581,249.14563494787348,34.3465978553481,308.56465550597665,391.5454872189909,4.000977850536864,3.3792171200479566,12.289292711952127
1979,4,1979-04-01,287.18050259721974,257.74969533119804,0.009703008767867876,23.374228841361447,0.5032311598475587,58.49843383122812,337.19507085873676,395.6366084147546,195.94442441655832,28.492103215445074,101144.74273641656,245.28259542720974,35.95966395224709,311.39368342628387,395.63068249908747,3.9012690411185544,3.321424146934476,11.900347463104364
1979,5,1979-05-01,288.26319430676244,258.439126515101,0.00995163974488673,24.274855474278446,0.5249467738089215,58.87704766563499,342.7942300775498,400.53354512998953,191.44950806435935,27.61054085668987,101134.24244304554,241.11467766055804,35.075637581433035,316.69492702212045,400.5502920900552,3.826571985020606,3.236166627023142,10.37201176258421
1979,6,1979-06-01,289.1046276139661,259.2627442499126,0.010162827248453318,25.323600131463113,0.5367557921454464,58.9018922694661,347.4377259716291,404.76838396159445,186.80286471271845,25.10596141111964,101134.50341293369,237.83527882400315,32.46359476042011,321.54486217334585,404.7832090776451,3.7887870271688926,3.1758554482820016,9.139724326810827
1979,7,1979-07-01,289.3255973751366,259.7192818570975,0.010287591222234098,25.881126405299593,0.5386852491395544,58.78168123754466,349.5708609578012,406.1207103714525,184.47349914562716,22.75065216017866,101132.47746273238,236.35439936357227,29.705226024893573,323.7686347066479,406.1303210210192,3.7849417837723776,3.155257870683807,8.813915267358961
1979,8,1979-08-01,289.28918767027767,259.39333184306605,0.010296969642573133,25.595837077334448,0.5263665426057823,58.619565158067914,349.3486989799491,406.0869169650271,185.181331145125,21.260133907660776,101138.27273167012,238.10518074895367,27.989572982443825,322.99665770039803,406.092812960639,3.8092423505467363,3.1728539976695447,9.307376460201983
1979,9,1979-09-01,288.6884141128702,258.72012046256185,0.00999723441899035,24.67210911103838,0.5200434839070305,58.04505909570323,345.1710939624265,402.84175554831,189.3890827519628,22.17852845915138,101141.49561113345,242.62489855045627,28.734369381338066,318.98049025022834,402.8506739943516,3.859960391857867,3.2284025518451274,10.302510011458645
1979,10,1979-10-01,287.65057690101094,258.1068726772414,0.009679502524882744,23.639945919668293,0.4996102116390714,58.94206194104246,339.90947960051204,397.72898042867286,194.25274371150599,25.51414136599882,101136.37933757334,248.538514439001,32.29869665540836,313.34384653991737,397.73806291123236,3.9584680429055457,3.3142654756394996,11.041673711475012
