var,sen_per_year,sen_lo95,sen_hi95,mk_tau,mk_pvalue,mean,sd,pct_change_47y,significant
T2m,0.016663192695864963,0.00967623543605363,0.023153677495137606,0.1311993751810841,3.1769526773750556e-06,287.717036017073,1.404119491455338,0.2722014891948144,True
T500,0.027991961706621233,0.022859567253704294,0.03242660497107994,0.29528992353526573,0.0,258.5959241170064,0.9001107836555976,0.508755969261109,True
SPFH2m,1.193630305337109e-05,9.608129457403138e-06,1.4440501450183113e-05,0.2690122570323621,0.0,0.00991175496107966,0.00039303635023879346,5.660009208372645,True
PWAT,0.052248576942818,0.04477212870991566,0.05977231873353401,0.3553405641006261,0.0,24.708427789214337,1.3586450628209075,9.938645782166661,True
APCP,0.0007793108233731226,0.0006772701620874637,0.0008878872330413728,0.3737198140659839,0.0,0.5297922720388853,0.01924943157990608,6.913579270904954,True
TCDC,0.11725695509079462,0.10671810347008022,0.12616738585177206,0.5581799629643627,0.0,60.47096698288171,2.3052063868672956,9.113591470808526,True
DLWRF,0.1177145583788897,0.0749133175876642,0.15850871413104833,0.1545419044379779,4.065243741635527e-08,341.19610672292924,7.111175084673468,1.6215261941135193,True
ULWRF,0.08641817076311094,0.05277420433508766,0.11803916574184808,0.1370696496731038,1.1301603199953547e-06,398.1382774257044,6.883390924378899,1.0201616514061873,True
DSWRF,0.08215095045830953,0.04441346889981478,0.11717662960678998,0.12410717659952383,1.0472948619000277e-05,194.02016578483367,5.818154092853998,1.99004812511214,True
USWRF,0.005819504609372344,-0.007627749436930775,0.01914984130100991,0.025395865613544462,0.3672402185757617,26.147003885088363,2.869136774952472,1.046072880252589,False
PRMSL,4.324736274087529e-05,-0.09346656960221554,0.08604503270007087,2.5194311124548077e-05,0.9994645870985959,101143.1686179678,14.823891267513913,2.009652334008496e-06,False
CSDSF,-0.01336098745140647,-0.03185826383671262,0.01732017741156494,-0.02931358099341169,0.2979758146232925,245.85300156151433,7.182524544879973,-0.25542352797306894,False
CSUSF,-0.003409028588470757,-0.018411313652443233,0.011909739437918627,-0.013000264540266808,0.6444741658175182,32.88460923269636,2.9930110077277337,-0.4872320133846031,False
CSDLF,0.1667799121401612,0.12449081254872148,0.2060379891558574,0.21372334126954134,3.197442310920451e-14,315.82265276799825,7.286302710475825,2.4819802512221356,True
CSULF,0.0861475694977866,0.05274050790502495,0.1179091893317661,0.13690588665079426,1.163882558552487e-06,398.13526981575023,6.893525524826818,1.0169749010856897,True
CDUVB,0.0009726389786458535,0.0003834422421845167,0.0016216563472613139,0.08844462920272603,0.0016854819113518715,3.9671511094792797,0.13889669425787038,1.1523138578493788,True
DUVB,0.0020426770370978098,0.0013802020268962193,0.002669718407138268,0.16131917413048133,1.0121888882608232e-08,3.339758819331151,0.11551224241695675,2.874633347411117,True
ALBDO,-0.0003011467823771524,-0.004753952586731537,0.004271677384081982,-0.003287857601753524,0.9072266583825273,10.538035580353862,0.999490383045566,-0.1343124974650245,False
CRE_SW,0.07609117730714901,0.05790150628292126,0.09529010644800807,0.1996649156620435,1.3369305662536135e-12,-45.09523042907268,3.284503947602952,-7.930517927080798,True
CRE_LW,-0.04813468814353804,-0.05321059706092422,-0.04163750069408376,-0.39984631470214027,0.0,25.370446344976777,1.0588559081652864,-8.91718778607227,True
CRE_net,0.026515062786406092,0.010675900340401103,0.04331659391306915,0.08196969124371717,0.0036056183145718457,-19.724784084095898,2.7532884721004587,-6.317980190038705,True
