repr,var,F_x_to_co2,p_x_to_co2,F_co2_to_x,p_co2_to_x,sig_x_to_co2,sig_co2_to_x,sens
d12,CSDLF,8.879830362605007,3.00324244199082e-09,1.7361479599430796,0.11047638483705984,True,False,X -> CO2
d12,SPFH2m,8.575305816102036,6.492451474059042e-09,2.4004871317639753,0.02681306428648369,True,True,bidirectionnel
d12,PWAT,8.404650834106969,1.0002309330352466e-08,2.30226314209225,0.033314699369160476,True,True,bidirectionnel
d12,DLWRF,8.345095919897185,1.1630758760515196e-08,1.7441280731452304,0.10870694893033055,True,False,X -> CO2
d12,T500,8.091993331572978,2.2081956206959694e-08,3.4898314154251073,0.00215088803792153,True,True,bidirectionnel
d12,ULWRF,7.682940545347717,6.223484169895328e-08,1.090204629501067,0.366936193155668,True,False,X -> CO2
d12,CSULF,7.666458860888931,6.488780067129757e-08,1.0792346724039539,0.37362778480786685,True,False,X -> CO2
d12,T2m,6.2172778102987785,2.531290618844056e-06,1.3259061116697737,0.2435595269171134,True,False,X -> CO2
d12,CSDSF,4.1634136755149695,0.00042173563506951636,0.9729768991503339,0.442746926227626,True,False,X -> CO2
d12,PRMSL,3.973344456952509,0.0006703461934310497,0.7872422895105745,0.5801594805434248,True,False,X -> CO2
d12,CDUVB,2.605030650533137,0.01694578568222734,0.321861611749235,0.9255871981506439,True,False,X -> CO2
d12,USWRF,2.5300980443992795,0.020067858951695685,2.5749226537915084,0.018139580084239482,True,True,bidirectionnel
d12,CRE_LW,2.4387552483781554,0.02462367548328179,0.8295503873669808,0.5473117656638499,True,False,X -> CO2
d12,TCDC,2.345091463140166,0.03031401456496985,2.189492877119541,0.04262158427151391,True,True,bidirectionnel
d12,CSUSF,2.1232769813492456,0.04917864994244746,1.2905830432316387,0.2596125776237044,True,False,X -> CO2
d12,DSWRF,2.0797666691381838,0.05399120043003141,1.5791461025738731,0.15095988304566363,False,False,aucun
d12,CRE_net,1.7299673635779313,0.11186462111641242,2.2227546123966833,0.03964775083643553,False,True,CO2 -> X
d12,CRE_SW,1.6038801607608602,0.14381801373922154,1.9869992249225747,0.06575915127089318,False,False,aucun
d12,DUVB,1.410140442915361,0.20853696502670532,1.0807552379072631,0.3726951988342833,False,False,aucun
d12,ALBDO,1.2306232174470326,0.2887895209323206,2.6394760888923656,0.015672732848231705,False,True,CO2 -> X
d12,APCP,1.0904297263832725,0.36679977267388864,2.689673388552444,0.013981264951861735,False,True,CO2 -> X
resid,SPFH2m,0.9881931191156013,0.4323549916061378,0.13839700437969632,0.9911654871381399,False,False,aucun
resid,T500,0.9263195126115836,0.47543193094565095,0.18652301762822335,0.9805581051105129,False,False,aucun
resid,CSDLF,0.8786767957917713,0.5101845401704944,0.17989072189751207,0.9823021913665032,False,False,aucun
resid,PWAT,0.8268670962032122,0.5493598297666356,0.2232062030478187,0.9692627975867535,False,False,aucun
resid,ULWRF,0.5197253203831073,0.7935324518891471,0.3114275540104785,0.931068571304928,False,False,aucun
resid,CSULF,0.5169063023801106,0.7956881460686822,0.31444220251312366,0.9295063387146982,False,False,aucun
resid,T2m,0.400680099932218,0.8786638691732819,0.45893850117027074,0.8386978634134534,False,False,aucun
resid,DLWRF,0.3189134817328319,0.9271602030675105,0.40857855147794536,0.8734765564883988,False,False,aucun
resid,CRE_LW,0.29662127728667503,0.9385077873290963,1.233369222694516,0.28735594163776357,False,False,aucun
resid,CSDSF,0.22524764308608444,0.96855253592813,0.29848508848499467,0.9375929867223672,False,False,aucun
resid,CDUVB,0.2105368537994991,0.9734789797006267,1.125694098076455,0.3458327557179751,False,False,aucun
resid,TCDC,0.15467107512682426,0.988105602966529,0.1056970273488047,0.9957670191040645,False,False,aucun
resid,DUVB,0.10242234966460824,0.9961200862277078,0.12204136687963923,0.9937174694229807,False,False,aucun
resid,DSWRF,0.09577741948067638,0.9967797818808908,0.8489941376014182,0.5324657982758936,False,False,aucun
resid,CRE_SW,0.08806763871229523,0.9974528940557942,1.0850037128505496,0.37006409216981445,False,False,aucun
resid,CRE_net,0.08076860880150691,0.9980027282885715,1.151950623573558,0.330819043218486,False,False,aucun
resid,USWRF,0.05930182490807658,0.9991703803924988,0.33881800049712235,0.9163055588410777,False,False,aucun
resid,ALBDO,0.0413677395394795,0.9997067534098639,0.9359016565395571,0.46860347455435225,False,False,aucun
resid,PRMSL,0.03830907837584711,0.9997654934692249,0.4664691781578071,0.8332704373415192,False,False,aucun
resid,APCP,0.03286548663366538,0.999850094723723,1.2588971479897966,0.2746803049755789,False,False,aucun
resid,CSUSF,0.030694965336842298,0.9998772754491763,0.771327061511703,0.5926867160276247,False,False,aucun
