date,observed,predicted,lo80,hi80,anomaly
2020-01-01,412.43,412.4216661068347,412.2755461876626,412.56778602600684,0.0083338931652861
2020-02-01,412.95,412.9661575801719,412.6627144968883,413.2696006634555,-0.016157580171920927
2020-03-01,413.44,413.4294943753264,413.0252264251122,413.8337623255406,0.010505624673612601
2020-04-01,413.86,413.8067124482425,413.32215735475137,414.2912675417336,0.05328755175753486
2020-05-01,413.81,413.7917193827156,413.2384068466277,414.3450319188035,0.01828061728440389
2020-06-01,412.88,412.9283800648751,412.31395684985563,413.5428032798946,-0.04838006487511848
2020-07-01,411.17,411.28597965882017,410.61599681446995,411.9559625031704,-0.1159796588201516
2020-08-01,409.73,409.9875917328352,409.266316378832,410.7088670868384,-0.25759173283518066
2020-09-01,410.0,410.1723714247852,409.4032165243515,410.9415263252189,-0.17237142478518308
2020-10-01,411.66,411.60264961386224,410.7884258206518,412.41687340707267,0.057350386137784426
2020-11-01,413.25,413.0366096183924,412.17968400318483,413.89353523359995,0.21339038160760992
2020-12-01,414.14,414.0002368124317,413.10263855342737,414.897835071436,0.13976318756829187
2021-01-01,414.73,414.69827705850247,413.7562146158156,415.6403395011893,0.03172294149754862
2021-02-01,415.2,415.24312629271617,414.25399961153926,416.2322529738931,-0.04312629271618107
2021-03-01,415.49,415.70646660665756,414.6723712490716,416.7405619642435,-0.2164666066575478
2021-04-01,415.81,416.0836847141829,415.0064959064883,417.1608735218775,-0.27368471418287754
2021-05-01,416.01,416.06869164899643,414.9500682739802,417.18731502401266,-0.058691648996443746
2021-06-01,415.2,415.2053523311593,414.04677528023427,416.36392938208434,-0.005352331159315327
2021-07-01,413.45,413.5629519251044,412.36575381671616,414.76015003349266,-0.11295192510442575
2021-08-01,412.15,412.2645639991194,411.0299523846727,413.4991756135661,-0.11456399911941162
2021-09-01,412.38,412.4493436910694,411.17841947368856,413.7202679084502,-0.06934369106937766
2021-10-01,413.83,413.8796218801464,412.5733941457435,415.1858496145492,-0.049621880146389685
2021-11-01,415.58,415.3135818846766,413.9729799967466,416.6541837726066,0.266418115323404
2021-12-01,416.6,416.2772090787158,414.90309265361935,417.6513255038123,0.32279092128419506
