date,observed,trend_ssm,slope_ssm
1979-01-01,336.56,335.62615920999116,0.40753011365524117
1979-02-01,337.29,336.03368932448325,0.32218567095696926
1979-03-01,337.88,336.355874995686,0.20620287894160497
1979-04-01,338.32,336.56207787281255,0.09404998513849079
1979-05-01,338.26,336.6561278586393,0.13104563896688018
1979-06-01,337.39,336.787173497531,-0.05578818547012733
1979-07-01,335.57,336.73138531218757,0.2556757828209293
1979-08-01,334.37,336.98706109196553,0.6803310735071884
1979-09-01,335.02,337.66739217733743,0.15647599766440737
1979-10-01,336.36,337.8238681711159,-0.2058898307527913
1979-11-01,337.36,337.61797834094614,-0.1967661876406055
1979-12-01,337.89,337.4212121493183,0.2149470630392898
1980-01-01,338.57,337.6361592145113,0.36753010286338395
1980-02-01,339.26,338.00368931882946,0.07218567875656626
1980-03-01,339.6,338.0758749951507,0.16620287997137562
1980-04-01,340.0,338.2420778730342,0.5940499857785512
1980-05-01,340.44,338.83612786175775,0.551045630519428
1980-06-01,339.99,339.38717349411485,0.21421181975536285
1980-07-01,338.44,339.6013853116293,0.2356757741187676
1980-08-01,337.22,339.83706108822986,-0.13966890900196371
1980-09-01,337.05,339.69739217859313,-0.4135239994967234
1980-10-01,337.82,339.28386817539695,-0.09588983818279101
1980-11-01,338.93,339.1879783387059,-0.016766187920152997
1980-12-01,339.64,339.171212150707,0.0749470625443357
1981-01-01,340.18,339.2461592127455,0.24753010771331446
1981-02-01,340.75,339.49368932082115,0.3621856714798211
1981-03-01,341.38,339.8558749948692,0.06620287792600879
1981-04-01,341.68,339.9220778719582,-0.09595000833096645
1981-05-01,341.43,339.8261278607554,0.2010456363692077
1981-06-01,340.63,340.02717349796166,0.3642118093659687
1981-07-01,339.23,340.39138530871435,0.30567577598046125
1981-08-01,338.08,340.6970610867388,-0.07966890162747131
1981-09-01,337.97,340.6173921827253,-0.08352401039509322
1981-10-01,339.07,340.533868172446,-0.10588983226318127
1981-11-01,340.17,340.42797834036116,-0.15676618834710773
1981-12-01,340.74,340.27121214974625,0.1549470610340729
1982-01-01,341.36,340.42615921202577,0.267530107356455
1982-02-01,341.95,340.69368932168345,0.01218567588323316
1982-03-01,342.23,340.70587499569433,0.05620287528870552
1982-04-01,342.52,340.76207787158455,0.0040499878561607305
1982-05-01,342.37,340.76612785838284,0.1210456425381008
1982-06-01,341.49,340.8871735022583,0.024211802064661336
1982-07-01,339.75,340.91138530502155,-0.18432421495803897
1982-08-01,338.11,340.72706108710395,0.08033109781926129
1982-09-01,338.16,340.80739218541424,0.2664759820949493
1982-10-01,339.61,341.0738681695013,0.13411017437457107
1982-11-01,340.95,341.2079783433036,0.09323380470059925
1982-12-01,341.77,341.30121214748766,0.1349470625801194
1983-01-01,342.37,341.4361592108754,0.04753011395887363
1983-02-01,342.74,341.48368932438353,0.032185671849513334
1983-03-01,343.04,341.5158749948611,0.23620287786031224
1983-04-01,343.51,341.7520778724473,0.4840499820685973
1983-05-01,343.84,342.23612785495914,0.6610456488873431
1983-06-01,343.5,342.8971735065598,0.40421179498224624
1983-07-01,342.14,343.30138530286615,-0.06432421384972159
1983-08-01,340.62,343.2370610860569,-0.0596688976864955
1983-09-01,340.53,343.17739218779826,0.03647597815451678
1983-10-01,341.75,343.21386816756956,-0.12588982016311723
1983-11-01,342.83,343.08797834602115,-0.06676619899028224
1983-12-01,343.49,343.02121214470054,0.3649470615912841
1984-01-01,344.32,343.3861592101641,0.17753011639520622
1984-02-01,344.82,343.56368932729697,-0.12781433092974415
1984-03-01,344.96,343.4358749936818,-0.0037971189945429362
1984-04-01,345.19,343.4320778736,0.29404997492504326
1984-05-01,345.33,343.7261278507195,0.24104566157171192
1984-06-01,344.57,343.9671735110017,0.39421179068017653
1984-07-01,343.2,344.36138530219284,0.4656757780776098
1984-08-01,342.21,344.82706108394075,-0.049668893026142136
1984-09-01,342.13,344.7773921894042,-0.3235240191200432
1984-10-01,342.99,344.4538681667723,-0.03588981811676628
1984-11-01,344.16,344.4179783495219,0.11323378746022816
1984-12-01,345.0,344.53121213934264,-0.11505292554871765
1985-01-01,345.35,344.41615921084883,0.12753012150514526
1985-02-01,345.8,344.5436893310901,0.5721856548969415
1985-03-01,346.64,345.11587499193286,0.06620288422747103
1985-04-01,346.94,345.18207787344704,-0.005950021563323693
1985-05-01,346.78,345.17612784838656,0.48104566303133944
1985-06-01,346.26,345.6571735148192,0.4242117825051979
1985-07-01,344.92,346.0813852999618,-0.05432421304072929
1985-08-01,343.41,346.0270610836489,-0.009668891785721556
1985-09-01,343.37,346.01739219154115,0.08647597146129385
1985-10-01,344.64,346.1038681644941,-0.055889810624011105
1985-11-01,345.79,346.0479783524224,0.033233783570514375
1985-12-01,346.55,346.08121213616425,0.09494707352423601
1986-01-01,347.11,346.1761592112467,-0.09246987727123722
1986-02-01,347.34,346.08368933158584,0.10218566214797375
1986-03-01,347.71,346.18587499386285,0.2762028781905713
1986-04-01,348.22,346.4620778732804,0.2540499716973182
1986-05-01,348.32,346.7161278436696,0.44104567326572824
1986-06-01,347.76,347.15717351902333,0.2942117805064009
1986-07-01,346.29,347.45138529991556,0.08567578245630314
1986-08-01,344.92,347.53706108178903,-0.029668887863178228
1986-09-01,344.86,347.5073921931034,-0.01352402902457648
1986-10-01,346.03,347.4938681636943,0.0641101883135215
1986-11-01,347.3,347.5579783545628,-0.26676622000020317
1986-12-01,347.76,347.29121213216973,-0.21505291616537167
1987-01-01,348.01,347.07615921349714,0.23753011593130752
1987-02-01,348.57,347.31368933091653,0.4521856631493567
1987-03-01,349.29,347.7658749953833,0.4562028790313075
1987-04-01,349.98,348.22207787457836,0.43404996139280827
1987-05-01,350.26,348.6561278372899,0.20104568792935842
1987-06-01,349.46,348.8571735241174,0.14421177660336545
1987-07-01,347.84,349.0013852998558,0.22567577890923257
1987-08-01,346.61,349.2270610799335,0.12033111546019662
1987-09-01,346.7,349.3473921949465,0.08647596646593944
1987-10-01,347.97,349.43386816127804,0.07411019848729244
1987-11-01,349.25,349.5079783586928,0.23323376845795968
1987-12-01,350.21,349.74121212807273,0.24494708618031508
1988-01-01,350.92,349.9861592144353,0.22753011568075274
1988-02-01,351.47,350.2136893307285,0.11218566807078559
1988-03-01,351.85,350.32587499742726,0.2162028775037655
1988-04-01,352.3,350.54207787496966,0.31404995622875986
1988-05-01,352.46,350.85612783189174,0.3010456970887218
1988-06-01,351.76,351.15717352906694,0.2742117700634138
1988-07-01,350.27,351.4313852989534,0.2756757795632249
1988-08-01,349.09,351.7070610789345,0.21033111637234486
1988-09-01,349.27,351.91739219629824,-0.013524035454932831
1988-10-01,350.44,351.90386815952047,-0.02588979657841256
1988-11-01,351.62,351.8779783619321,0.1232337613887006
1988-12-01,352.47,352.0012121245554,0.07494709099817778
1989-01-01,353.01,352.0761592148602,0.13753011703817022
1989-02-01,353.47,352.21368933144754,0.27218566567490976
1989-03-01,354.01,352.4858749988152,0.13620287622952526
1989-04-01,354.38,352.6220778752709,-0.03595004671965063
1989-05-01,354.19,352.5861278267427,0.08104570651062484
1989-06-01,353.27,352.66717353409047,0.06421176419210381
1989-07-01,351.57,352.73138529791794,0.10567578106195047
1989-08-01,350.22,352.8370610775214,0.38033111752582166
1989-09-01,350.57,353.2173921984779,0.10647596004944242
1989-10-01,351.86,353.3238681576424,-0.025889791492745506
1989-11-01,353.04,353.2979783642639,0.14323375643599634
1989-12-01,353.91,353.4412121219972,0.104947093315613
1990-01-01,354.48,353.5461592152448,0.07753011606823737
1990-02-01,354.88,353.6236893313,0.05218566969882277
1990-03-01,355.2,353.6758750006901,0.0762028754111937
1990-04-01,355.51,353.75207787639005,0.05404994317840617
1990-05-01,355.41,353.8061278202618,-0.07895427829876386
1990-06-01,354.33,353.7271735397353,0.1442117577915354
1990-07-01,352.71,353.87138529778775,0.3256757743087776
1990-08-01,351.58,354.1970610737652,0.24033112919700833
1990-09-01,351.79,354.4373922025776,0.21647595245453707
1990-10-01,353.19,354.6538681558984,0.054110210125168784
1990-11-01,354.45,354.7079783652637,0.013233755910503686
1990-12-01,355.19,354.72121212034494,0.10494709445459766
1991-01-01,355.76,354.82615921535694,0.10753011677168013
1991-02-01,356.19,354.93368933136514,0.23218567045870966
1991-03-01,356.69,355.16587500239086,0.2662028731999303
1991-04-01,357.19,355.4320778770054,0.07404993932515608
