decade,n,mean,min,max,sd
1970s,12,336.85583333333335,334.37,338.32,1.2967894504459536
1980s,120,345.16183333333333,337.05,354.38,4.663101175937565
1990s,120,359.93483333333336,351.58,369.29,4.5798781649299825
2000s,120,377.87583333333333,366.71,387.99,5.9358374039620365
2010s,120,399.03866666666664,386.23,411.76,7.113194265663208
2020s,72,418.67,409.73,427.35,4.778529150802631
